Transaction ID,Amount,Timestamp,Description,Transaction Type,Account Number
TXN00001,-87.18,2024-05-16 07:22:18.808433,Municipal Tax Payment,debit,NLINGB1944573686
TXN00002,-269.85,2023-09-03 10:54:45.808433,PayPal Transfer,debit,NLABNA3263982552
TXN00003,-40.28,2024-03-16 23:43:41.808433,Rent Payment,credit,NLINGB3068192988
TXN00004,473.45,2023-12-01 07:14:22.808433,Payment to Rabobank,debit,NLINGB8559012158
TXN00005,170.68,2024-01-03 14:08:30.808433,Tax Refund,debit,NLABNA1588199536
TXN00006,238.92,2023-12-30 20:49:08.808433,NS Train Ticket,credit,NLABNA1349001104
TXN00007,-172.07,2023-10-23 12:38:47.808433,Tax Refund,debit,NLINGB5074285515
TXN00008,484.88,2024-02-09 22:07:41.808433,iDEAL Payment,credit,NLABNA2697505741
TXN00009,-161.04,2023-10-23 22:17:57.808433,Bol.com Purchase,debit,NLRABO9631379247
TXN00010,489.98,2024-08-15 09:56:48.808433,NS Train Ticket,credit,NLINGB8859765144
TXN00011,115.87,2024-03-30 18:00:02.808433,Rent Payment,credit,NLRABO9612344903
TXN00012,170.77,2024-05-26 06:53:57.808433,PayPal Transfer,credit,NLRABO3803613765
TXN00013,42.6,2024-02-03 16:29:37.808433,Eneco Energy Bill,debit,NLRABO5127825843
TXN00014,-177.43,2024-01-20 19:55:06.808433,Eneco Energy Bill,credit,NLINGB5344753784
TXN00015,82.17,2024-05-26 05:11:11.808433,Eneco Energy Bill,debit,NLRABO6716201390
TXN00016,-440.68,2024-05-04 09:51:29.808433,NS Train Ticket,credit,NLRABO4117567688
TXN00017,327.79,2024-03-02 15:55:14.808433,PayPal Transfer,credit,NLABNA2040329838
TXN00018,171.85,2024-06-09 10:25:23.808433,Geldmaat ATM Withdrawal,debit,NLRABO5882170657
TXN00019,332.48,2023-12-14 08:46:09.808433,Transfer to ING Account,credit,NLRABO5985724564
TXN00020,198.79,2024-06-17 01:40:59.808433,Payment to Rabobank,debit,NLINGB1980594138
TXN00021,317.62,2024-02-14 03:44:26.808433,Albert Heijn Purchase,credit,NLABNA9387277578
TXN00022,213.16,2024-07-27 07:53:51.808433,Geldmaat ATM Withdrawal,debit,NLINGB9367195099
TXN00023,-184.03,2023-09-23 11:16:13.808433,Tax Refund,debit,NLRABO8265208417
TXN00024,-373.08,2024-06-22 11:38:41.808433,Payment to Rabobank,debit,NLRABO5319633260
TXN00025,240.54,2023-12-09 04:00:50.808433,Payment to Ziggo,credit,NLABNA6630568789
TXN00026,-15.84,2023-09-20 18:30:55.808433,NS Train Ticket,debit,NLABNA1751120131
TXN00027,385.66,2024-05-21 10:41:37.808433,NS Train Ticket,credit,NLRABO6767004538
TXN00028,-394.89,2024-05-23 18:33:12.808433,iDEAL Payment,credit,NLABNA1493079609
TXN00029,-26.07,2024-04-10 13:14:26.808433,NS Train Ticket,credit,NLRABO8359362301
TXN00030,-309.34,2023-09-17 00:54:09.808433,Payment to Credit Card,debit,NLABNA4738030239
TXN00031,-76.62,2023-11-10 23:44:01.808433,Payment to Credit Card,credit,NLINGB3918267859
TXN00032,-99.16,2023-09-08 09:45:29.808433,Municipal Tax Payment,credit,NLINGB7864171189
TXN00033,498.0,2023-10-13 22:59:11.808433,Municipal Tax Payment,debit,NLABNA5228049984
TXN00034,-30.36,2023-12-15 13:29:25.808433,Geldmaat ATM Withdrawal,debit,NLABNA2087427111
TXN00035,419.52,2023-12-31 10:12:01.808433,NS Train Ticket,credit,NLINGB9626495438
TXN00036,-216.0,2023-12-31 12:34:07.808433,Tax Refund,credit,NLABNA9323309654
TXN00037,-157.25,2024-05-06 15:45:04.808433,Car Lease Payment,debit,NLABNA7411873056
TXN00038,371.68,2024-07-24 17:48:24.808433,iDEAL Payment,debit,NLABNA2879546777
TXN00039,285.57,2023-10-01 13:55:52.808433,Bol.com Purchase,debit,NLABNA2899314069
TXN00040,289.76,2024-04-12 03:22:02.808433,Transfer to ING Account,debit,NLINGB5780169490
TXN00041,384.33,2023-09-19 21:45:15.808433,Bol.com Purchase,debit,NLABNA4564123900
TXN00042,-278.79,2023-12-13 12:30:26.808433,Car Lease Payment,debit,NLINGB4606000455
TXN00043,-57.29,2023-12-05 19:19:31.808433,T-Mobile Bill Payment,credit,NLRABO3257478395
TXN00044,122.38,2024-01-20 15:59:13.808433,Rent Payment,debit,NLINGB4900039616
TXN00045,331.17,2023-11-20 18:30:44.808433,Payment to Rabobank,debit,NLRABO8960387546
TXN00046,326.92,2024-01-02 21:19:38.808433,Bol.com Purchase,credit,NLRABO2144458641
TXN00047,-367.38,2024-04-12 14:16:29.808433,Netflix Subscription,credit,NLINGB8749516996
TXN00048,-210.23,2023-12-23 03:08:38.808433,PayPal Transfer,debit,NLRABO4116851404
TXN00049,-498.12,2024-08-01 00:45:38.808433,Bol.com Purchase,debit,NLABNA9581164520
TXN00050,-108.72,2023-11-07 22:19:04.808433,Car Lease Payment,debit,NLABNA9090942025
TXN00051,298.14,2024-03-01 22:55:18.808433,Transfer to ING Account,debit,NLRABO7572992043
TXN00052,301.37,2024-07-23 08:18:01.808433,Bol.com Purchase,credit,NLINGB7911294561
TXN00053,-176.01,2024-02-09 07:31:31.808433,Payment to Ziggo,debit,NLABNA3794053049
TXN00054,98.72,2023-09-11 20:56:09.808433,iDEAL Payment,credit,NLINGB8162416560
TXN00055,83.49,2023-12-12 22:54:08.808433,Tax Refund,debit,NLABNA3579884981
TXN00056,251.4,2024-07-13 22:24:51.808433,Transfer to ING Account,debit,NLINGB3519620290
TXN00057,-169.42,2023-12-05 19:03:28.808433,Tax Refund,debit,NLRABO2570409360
TXN00058,-423.49,2023-12-29 18:01:00.808433,Geldmaat ATM Withdrawal,debit,NLRABO4306770898
TXN00059,406.27,2023-12-04 10:42:26.808433,Salary from Employer,credit,NLABNA4718634162
TXN00060,-250.2,2023-12-16 20:24:20.808433,NS Train Ticket,credit,NLABNA2024466211
TXN00061,-13.23,2024-05-09 12:31:18.808433,iDEAL Payment,credit,NLINGB6321141186
TXN00062,421.71,2023-08-27 20:39:08.808433,PayPal Transfer,debit,NLINGB5160992659
TXN00063,456.37,2024-05-16 04:05:12.808433,Payment to Credit Card,credit,NLABNA4168458962
TXN00064,-240.57,2024-07-09 06:26:30.808433,Salary from Employer,debit,NLINGB3625581427
TXN00065,-150.23,2023-12-13 15:09:22.808433,AH Online Groceries,credit,NLABNA6942850112
TXN00066,-12.8,2024-08-22 04:32:51.808433,Payment to Credit Card,debit,NLABNA4351029349
TXN00067,-419.29,2024-02-20 07:40:51.808433,Transfer to ING Account,debit,NLABNA1451474809
TXN00068,225.13,2024-01-21 02:28:23.808433,T-Mobile Bill Payment,credit,NLABNA7020099865
TXN00069,419.98,2023-10-16 20:48:38.808433,Rent Payment,credit,NLRABO2240682781
TXN00070,472.32,2024-01-18 00:23:05.808433,Payment to Ziggo,credit,NLRABO3265125527
TXN00071,-381.69,2023-10-23 14:10:13.808433,Bol.com Purchase,debit,NLABNA1341480167
TXN00072,258.65,2024-05-25 17:32:24.808433,Payment to Credit Card,debit,NLABNA4049937457
TXN00073,-177.51,2024-08-12 05:08:28.808433,Payment to Rabobank,credit,NLRABO4060437704
TXN00074,-267.09,2024-06-15 16:42:30.808433,AH Online Groceries,debit,NLABNA5396833449
TXN00075,-417.6,2023-12-15 00:51:38.808433,Municipal Tax Payment,credit,NLINGB4090811152
TXN00076,351.19,2024-05-01 17:22:49.808433,T-Mobile Bill Payment,debit,NLINGB6202659969
TXN00077,-421.67,2023-12-22 01:55:53.808433,NS Train Ticket,debit,NLINGB9162722058
TXN00078,380.05,2023-10-03 12:36:19.808433,Rent Payment,credit,NLRABO2740254625
TXN00079,70.38,2024-06-11 03:33:07.808433,Car Lease Payment,debit,NLRABO1224228096
TXN00080,134.11,2024-04-15 10:53:23.808433,NS Train Ticket,debit,NLRABO3334786786
TXN00081,423.62,2023-09-03 09:23:52.808433,Albert Heijn Purchase,credit,NLRABO3374060848
TXN00082,-286.57,2024-06-26 02:14:02.808433,Geldmaat ATM Withdrawal,credit,NLRABO4957195752
TXN00083,-24.53,2024-07-02 03:24:28.808433,Tax Refund,debit,NLABNA5339801889
TXN00084,467.09,2024-06-14 22:19:15.808433,Transfer to ING Account,credit,NLABNA1032356151
TXN00085,-333.88,2023-10-08 16:19:53.808433,Bunq Transfer,debit,NLRABO9799575570
TXN00086,293.95,2023-12-23 16:14:25.808433,Albert Heijn Purchase,credit,NLABNA6687094826
TXN00087,-107.95,2024-06-06 12:45:25.808433,Bol.com Purchase,debit,NLRABO7733535247
TXN00088,-264.87,2024-01-10 08:03:25.808433,Albert Heijn Purchase,credit,NLABNA5980455729
TXN00089,241.28,2024-02-03 02:26:15.808433,Eneco Energy Bill,debit,NLRABO6307754193
TXN00090,358.94,2024-05-20 05:24:32.808433,Salary from Employer,credit,NLINGB8482080096
TXN00091,166.26,2024-07-06 12:37:17.808433,Municipal Tax Payment,debit,NLINGB4163621138
TXN00092,-4.38,2024-02-22 21:50:01.808433,Rent Payment,credit,NLABNA7365550137
TXN00093,346.27,2024-01-07 20:49:56.808433,Transfer to ING Account,debit,NLRABO7637407574
TXN00094,408.29,2023-09-03 04:54:20.808433,Albert Heijn Purchase,credit,NLRABO1794762062
TXN00095,-202.83,2023-09-18 04:04:02.808433,Rent Payment,credit,NLRABO7566688928
TXN00096,-278.09,2023-10-17 03:29:28.808433,Transfer to ING Account,debit,NLINGB5703185742
TXN00097,-210.05,2023-09-04 03:35:45.808433,Eneco Energy Bill,credit,NLABNA4818908787
TXN00098,478.41,2024-01-30 16:50:31.808433,Payment to Ziggo,debit,NLABNA7192681369
TXN00099,318.55,2024-01-04 02:14:17.808433,PayPal Transfer,debit,NLRABO3433982516
TXN00100,-397.05,2024-08-10 01:09:51.808433,Transfer to ING Account,credit,NLABNA4893975036
TXN00101,334.28,2024-06-29 20:57:58.808433,Payment to Ziggo,credit,NLABNA2326735679
TXN00102,391.36,2023-12-19 20:23:47.808433,Netflix Subscription,credit,NLINGB4545774021
TXN00103,-7.47,2024-05-28 08:55:35.808433,AH Online Groceries,credit,NLRABO3419734626
TXN00104,-292.08,2024-02-23 18:27:55.808433,Municipal Tax Payment,credit,NLABNA1603424128
TXN00105,-358.42,2024-06-09 10:18:37.808433,Car Lease Payment,credit,NLABNA8312157617
TXN00106,-360.52,2024-04-25 07:11:39.808433,Netflix Subscription,credit,NLINGB1724173190
TXN00107,-209.2,2023-11-02 06:55:54.808433,Bol.com Purchase,credit,NLABNA7909314988
TXN00108,-43.45,2023-09-09 07:04:40.808433,Municipal Tax Payment,credit,NLRABO2955341215
TXN00109,-158.88,2023-09-21 09:28:57.808433,iDEAL Payment,debit,NLINGB2207036791
TXN00110,63.32,2024-07-04 16:21:15.808433,Transfer to ING Account,debit,NLABNA9205960171
TXN00111,-271.84,2023-10-02 20:40:27.808433,Salary from Employer,credit,NLINGB6446716057
TXN00112,-447.21,2024-07-31 11:53:03.808433,Eneco Energy Bill,credit,NLRABO9328794709
TXN00113,-214.99,2023-10-18 08:38:55.808433,NS Train Ticket,credit,NLINGB1393393050
TXN00114,-78.69,2023-09-17 04:47:39.808433,Municipal Tax Payment,debit,NLINGB6612747330
TXN00115,396.77,2023-10-15 01:32:11.808433,Payment to Ziggo,debit,NLRABO8186544562
TXN00116,46.08,2023-08-25 03:36:42.808433,Salary from Employer,debit,NLABNA6221290250
TXN00117,0.57,2024-07-07 19:31:05.808433,Bunq Transfer,credit,NLABNA2789184396
TXN00118,172.32,2024-05-16 12:20:50.808433,Albert Heijn Purchase,debit,NLABNA6648744000
TXN00119,-405.24,2024-01-19 02:12:36.808433,Municipal Tax Payment,debit,NLINGB1753518732
TXN00120,363.29,2023-10-30 01:09:39.808433,Payment to Rabobank,debit,NLRABO7460343747
TXN00121,237.06,2024-01-04 21:39:50.808433,Salary from Employer,credit,NLINGB1518911311
TXN00122,-199.48,2023-12-07 15:40:59.808433,Payment to Ziggo,credit,NLABNA9005888404
TXN00123,-34.32,2024-03-10 09:10:24.808433,Albert Heijn Purchase,credit,NLINGB9774875596
TXN00124,166.58,2024-07-17 02:36:16.808433,Netflix Subscription,credit,NLABNA4363090858
TXN00125,483.36,2024-04-29 09:57:02.808433,Netflix Subscription,debit,NLINGB2703241992
TXN00126,-230.01,2024-01-24 10:08:42.808433,Salary from Employer,credit,NLINGB6364941817
TXN00127,116.15,2024-05-06 12:58:57.808433,Netflix Subscription,debit,NLRABO2843272211
TXN00128,204.03,2024-07-24 01:50:09.808433,Albert Heijn Purchase,credit,NLRABO2070316972
TXN00129,280.22,2023-10-10 21:32:34.808433,Geldmaat ATM Withdrawal,debit,NLABNA1490574928
TXN00130,-239.89,2023-12-12 13:34:05.808433,T-Mobile Bill Payment,debit,NLABNA2971876818
TXN00131,436.88,2023-10-21 05:58:22.808433,Geldmaat ATM Withdrawal,credit,NLRABO2223281357
TXN00132,332.01,2024-07-17 17:02:17.808433,Payment to Rabobank,credit,NLRABO9550799041
TXN00133,-252.81,2023-11-06 14:24:07.808433,NS Train Ticket,credit,NLRABO8591605359
TXN00134,265.08,2023-09-15 15:55:05.808433,NS Train Ticket,debit,NLRABO4231734955
TXN00135,347.15,2024-05-21 22:09:02.808433,PayPal Transfer,debit,NLABNA9679552852
TXN00136,377.33,2023-09-24 04:39:03.808433,Bunq Transfer,debit,NLRABO9624223765
TXN00137,390.96,2023-12-28 15:15:46.808433,Eneco Energy Bill,credit,NLABNA9889782277
TXN00138,253.5,2024-08-19 02:31:44.808433,Transfer to ING Account,credit,NLABNA1208234168
TXN00139,117.76,2024-03-21 09:03:41.808433,Tax Refund,credit,NLABNA9398736609
TXN00140,296.51,2024-08-16 12:40:36.808433,Geldmaat ATM Withdrawal,debit,NLINGB5574915422
TXN00141,179.61,2023-10-04 10:38:06.808433,Eneco Energy Bill,credit,NLABNA8277547795
TXN00142,-267.28,2024-02-29 17:32:42.808433,Bol.com Purchase,credit,NLINGB6458660500
TXN00143,-399.69,2024-08-20 17:14:27.808433,Payment to Ziggo,credit,NLABNA6655158260
TXN00144,494.58,2024-01-28 19:03:07.808433,Payment to Credit Card,credit,NLRABO5587963184
TXN00145,328.86,2024-06-03 20:51:28.808433,Payment to Credit Card,credit,NLRABO6841302130
TXN00146,168.16,2024-08-19 01:12:01.808433,T-Mobile Bill Payment,debit,NLABNA4764470285
TXN00147,-39.27,2024-03-28 23:02:42.808433,T-Mobile Bill Payment,credit,NLABNA8063358911
TXN00148,-295.52,2024-08-09 21:17:11.808433,Municipal Tax Payment,debit,NLRABO3139606453
TXN00149,-219.65,2024-01-23 20:53:58.808433,Payment to Ziggo,debit,NLINGB8282458563
TXN00150,242.91,2023-12-28 13:55:32.808433,Transfer to ING Account,credit,NLINGB8599110708
TXN00151,78.03,2024-04-08 15:23:41.808433,Bol.com Purchase,credit,NLRABO9398386059
TXN00152,-330.57,2024-03-27 07:39:27.808433,Bunq Transfer,credit,NLRABO5125599404
TXN00153,103.41,2023-11-29 03:09:41.808433,Transfer to ING Account,credit,NLINGB8615492465
TXN00154,-332.36,2023-12-09 16:15:24.808433,NS Train Ticket,debit,NLRABO8728972346
TXN00155,-68.68,2024-06-11 20:39:41.808433,Bol.com Purchase,credit,NLABNA3459049403
TXN00156,236.08,2024-01-20 02:04:18.808433,Bol.com Purchase,debit,NLRABO9912024278
